Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,C_0603,
C6,0603,1,2.2uF,
C7,0603,1,0.1uF,
"D1, D2",LED_1206,2,PWRLED,
E2,antenna,1,2.4ghz,
J1,USB_A_PCB_Edge_receptacle,1,USB_A_PCB_Edge_receptacle,
J2,PinHeader_01x06_P2.54mm_Horizontal_SMD,1,PinHeader_01x06_P2.54mm_Horizontal_SMD,
R3,0603,1,1.5k,
"R4, R5",0603,2,330,
"S1, S2",button,2,TL3365AF180QG,
U1,CH572D,1,~,
U2,voltage regulator,1,TCR2EF33_LMCT,
Y1,32mhz crystal,1,XRCGB32M000F2P01R0,
